时间,系统,序列号,数据是否完整,运行级别,列车头部Link,列车头部Offset,列车头部方向,列车速度,EBI,列车是否停稳,当前站编号,下一站编号,ATO主流程,ATO驾驶状态,ATO已激活,牵引状态,制动状态,ATO模拟量输出,目标速度,目标距离,当前坡度,PID控制器期望加速度,记录停车阶段的误差,ATO输出模拟量,列车参考速度,列车重量,网压,网流,牵引力,空气制动力,电制动力,转向架常用制动不可用数量,转向架紧急制动不可用数量,TMS输入端口2偏移量9车辆施加牵引,车辆施加制动,推荐速度,牵引制动状态,列车停车精度,ATO停车超限,乘客满载率
06:23:03,4645,80898,True,3,177,12936,55,0,0,55,36,37,3,3,1,0,1,112,0,9999999,0,0,15,4440000,0,14668,793,81,0,7640,0,0,0,0,1,65535,3,15,AA,0
06:23:03,4645,80899,True,3,177,12936,55,0,0,55,36,37,3,3,1,0,1,112,0,9999999,0,0,15,4440000,0,14668,793,76,0,7640,0,0,0,0,1,65535,3,15,AA,0
06:23:04,4645,80900,True,3,177,12936,55,0,0,55,36,37,3,3,1,0,1,112,0,9999999,0,0,15,4440000,0,14668,790,78,0,7640,0,0,0,0,1,65535,3,15,AA,0
06:23:04,4645,80901,True,3,177,12936,55,0,0,55,36,37,3,3,1,0,1,112,0,9999999,0,0,15,4440000,0,14668,793,78,0,7640,0,0,0,0,1,65535,3,15,AA,0
06:23:04,4645,80902,True,3,177,12936,55,0,0,55,36,37,3,3,1,0,1,112,0,9999999,0,0,15,4440000,0,14668,792,76,0,7630,0,0,0,0,1,65535,3,15,AA,0
06:23:04,4645,80903,True,3,177,12936,55,0,0,55,36,37,3,3,1,0,1,112,0,9999999,0,0,15,4440000,0,14668,784,75,0,7640,0,0,0,0,1,65535,3,15,AA,0
06:23:04,4645,80904,True,3,177,12936,55,0,0,55,36,37,3,3,1,0,1,112,0,9999999,0,0,15,4440000,0,14668,784,79,0,7640,0,0,0,0,1,65535,3,15,AA,0
06:23:05,4645,80905,True,3,177,12936,55,0,0,55,36,37,3,3,1,0,1,112,0,9999999,0,0,15,4440000,0,14668,787,79,0,7640,0,0,0,0,1,65535,3,15,AA,0
06:23:05,4645,80906,True,3,177,12936,55,0,0,55,36,37,3,3,1,0,1,112,0,9999999,0,0,15,4440000,0,14668,781,76,0,7630,0,0,0,0,1,65535,3,15,AA,0
06:23:05,4645,80907,True,3,177,12936,55,0,0,55,36,37,3,3,1,0,1,112,0,9999999,0,0,15,4440000,0,14668,781,79,0,7640,0,0,0,0,1,65535,3,15,AA,0
06:23:05,4645,80908,True,3,177,12936,55,0,0,55,36,37,3,3,1,0,1,112,0,9999999,0,0,15,4440000,0,14668,789,79,0,7640,0,0,0,0,1,65535,3,15,AA,0
06:23:05,4645,80909,True,3,177,12936,55,0,0,55,36,37,3,3,1,0,1,112,0,9999999,0,0,15,4440000,0,14668,791,79,0,7640,0,0,0,0,1,65535,3,15,AA,0
06:23:06,4645,80910,True,3,177,12936,55,0,0,55,36,37,3,3,1,0,1,112,0,9999999,0,0,15,4440000,0,14668,777,79,0,7640,0,0,0,0,1,65535,3,15,AA,0
06:23:06,4645,80911,True,3,177,12936,55,0,0,55,36,37,3,3,1,0,1,112,0,9999999,0,0,15,4440000,0,14668,777,76,0,7640,0,0,0,0,1,65535,3,15,AA,0
06:23:06,4645,80912,True,3,177,12936,55,0,0,55,36,37,3,3,1,0,1,112,0,9999999,0,0,15,4440000,0,14668,793,78,0,7640,0,0,0,0,1,65535,3,15,AA,0
06:23:06,4645,80913,True,3,177,12936,55,0,0,55,36,37,3,3,1,0,1,112,0,9999999,0,0,15,4440000,0,14668,787,77,0,7640,0,0,0,0,1,65535,3,15,AA,0
06:23:06,4645,80914,True,3,177,12936,55,0,0,55,36,37,3,3,1,0,1,112,0,9999999,0,0,15,4440000,0,14664,791,79,0,7640,0,0,0,0,1,65535,3,15,AA,0
06:23:07,4645,80915,True,3,177,12936,55,0,0,55,36,37,3,3,1,0,1,112,0,9999999,0,0,15,4440000,0,14664,793,79,0,7630,0,0,0,0,1,65535,3,15,AA,0
06:23:07,4645,80916,True,3,177,12936,55,0,0,55,36,37,3,3,1,0,1,112,0,9999999,0,0,15,4440000,0,14664,787,77,0,7640,0,0,0,0,1,65535,3,15,AA,0
06:23:07,4645,80917,True,3,177,12936,55,0,0,55,36,37,3,3,1,0,1,112,0,9999999,0,0,15,4440000,0,14668,795,76,0,7640,0,0,0,0,1,65535,3,15,AA,0
06:23:07,4645,80918,True,3,177,12936,55,0,0,55,36,37,3,3,1,0,1,112,0,9999999,0,0,15,4440000,0,14668,793,79,0,7640,0,0,0,0,1,65535,3,15,AA,0
06:23:07,4645,80919,True,3,177,12936,55,0,0,55,36,37,3,3,1,0,1,112,0,9999999,0,0,15,4440000,0,14668,799,76,0,7640,0,0,0,0,1,65535,3,15,AA,0
