,fold,best_score,R-square,best_params
0,0.0,-0.009158007969662185,0.998512980911327,{'batch_size': 16}
1,1.0,-0.017644942669059353,0.9897635741081652,{'batch_size': 2}
2,2.0,-0.012653911882674581,0.9970959146146497,{'batch_size': 2}
3,3.0,-0.011818611730207176,0.9984860781376792,{'batch_size': 12}
4,4.0,-0.010887254579288904,0.9980121481451513,{'batch_size': 8}
5,5.0,-0.011105418730148553,0.9986053354147371,{'batch_size': 20}
6,6.0,-0.00982212067907819,0.998699120540355,{'batch_size': 12}
7,7.0,-0.010104527366344346,0.9990892149434488,{'batch_size': 16}
8,8.0,-0.009831158465736678,0.9991384726575059,{'batch_size': 6}
9,9.0,-0.009241087746416334,0.9992351107664875,{'batch_size': 12}
