,fold,best_score,R-square,best_params
0,0.0,-0.009505978266598006,0.9971405081401983,{'hidden_size': 30}
1,1.0,-0.02027163814861681,0.9967778796122081,{'hidden_size': 30}
2,2.0,-0.015188989594356744,0.99783021466804,{'hidden_size': 14}
3,3.0,-0.012665933413499619,0.998585179452307,{'hidden_size': 30}
4,4.0,-0.011612509882314201,0.9985289532894865,{'hidden_size': 18}
5,5.0,-0.01146637718940159,0.9988945676761516,{'hidden_size': 30}
6,6.0,-0.011576012233369484,0.9974673998935245,{'hidden_size': 22}
7,7.0,-0.0108202667719813,0.998622838239919,{'hidden_size': 22}
8,8.0,-0.010408511537183683,0.9990356658242782,{'hidden_size': 18}
9,9.0,-0.01003225966641506,0.99898225326621,{'hidden_size': 26}
